class,chem_comp_id_api
Ascorbic_acid,ASC
Factor_F430,F43
Factor_F430,M43
MIO,MDO
Phosphopantetheine,PNS
Nicotinamide-adenine_dinucleotide,0WD
Nicotinamide-adenine_dinucleotide,1DG
Nicotinamide-adenine_dinucleotide,3AA
Nicotinamide-adenine_dinucleotide,3CD
Nicotinamide-adenine_dinucleotide,5J8
Nicotinamide-adenine_dinucleotide,6V0
Nicotinamide-adenine_dinucleotide,80F
Nicotinamide-adenine_dinucleotide,8ID
Nicotinamide-adenine_dinucleotide,A3D
Nicotinamide-adenine_dinucleotide,AP0
Nicotinamide-adenine_dinucleotide,CNA
Nicotinamide-adenine_dinucleotide,CND
Nicotinamide-adenine_dinucleotide,DG1
Nicotinamide-adenine_dinucleotide,DN4
Nicotinamide-adenine_dinucleotide,DND
Nicotinamide-adenine_dinucleotide,DQV
Nicotinamide-adenine_dinucleotide,EAD
Nicotinamide-adenine_dinucleotide,ENA
Nicotinamide-adenine_dinucleotide,LNC
Nicotinamide-adenine_dinucleotide,N01
Nicotinamide-adenine_dinucleotide,NA0
Nicotinamide-adenine_dinucleotide,NAD
Nicotinamide-adenine_dinucleotide,NAE
Nicotinamide-adenine_dinucleotide,NAI
Nicotinamide-adenine_dinucleotide,NAJ
Nicotinamide-adenine_dinucleotide,NAP
Nicotinamide-adenine_dinucleotide,NAQ
Nicotinamide-adenine_dinucleotide,NAX
Nicotinamide-adenine_dinucleotide,NBD
Nicotinamide-adenine_dinucleotide,NBP
Nicotinamide-adenine_dinucleotide,NDA
Nicotinamide-adenine_dinucleotide,NDC
Nicotinamide-adenine_dinucleotide,NDE
Nicotinamide-adenine_dinucleotide,NDO
Nicotinamide-adenine_dinucleotide,NDP
Nicotinamide-adenine_dinucleotide,NHD
Nicotinamide-adenine_dinucleotide,NHO
Nicotinamide-adenine_dinucleotide,NJP
Nicotinamide-adenine_dinucleotide,NPW
Nicotinamide-adenine_dinucleotide,ODP
Nicotinamide-adenine_dinucleotide,P1H
Nicotinamide-adenine_dinucleotide,PAD
Nicotinamide-adenine_dinucleotide,SAD
Nicotinamide-adenine_dinucleotide,SAE
Nicotinamide-adenine_dinucleotide,SND
Nicotinamide-adenine_dinucleotide,TAD
Nicotinamide-adenine_dinucleotide,TAP
Nicotinamide-adenine_dinucleotide,TDT
Nicotinamide-adenine_dinucleotide,TXD
Nicotinamide-adenine_dinucleotide,TXE
Nicotinamide-adenine_dinucleotide,TXP
Nicotinamide-adenine_dinucleotide,ZID
Dipyrromethane,18W
Dipyrromethane,29P
Dipyrromethane,DPM
Molybdopterin,2MD
Molybdopterin,MCN
Molybdopterin,MGD
Molybdopterin,MSS
Molybdopterin,MTE
Molybdopterin,MTQ
Molybdopterin,MTV
Molybdopterin,PCD
Molybdopterin,PGD
Molybdopterin,XAX
Adenosylcobalamin,B12
Adenosylcobalamin,B1M
Adenosylcobalamin,CNC
Adenosylcobalamin,COB
Adenosylcobalamin,COY
Flavin_adenine_dinucleotide,6FA
Flavin_adenine_dinucleotide,FA8
Flavin_adenine_dinucleotide,FAA
Flavin_adenine_dinucleotide,FAB
Flavin_adenine_dinucleotide,FAD
Flavin_adenine_dinucleotide,FAE
Flavin_adenine_dinucleotide,FAO
Flavin_adenine_dinucleotide,FAS
Flavin_adenine_dinucleotide,FCG
Flavin_adenine_dinucleotide,FDA
Flavin_adenine_dinucleotide,FED
Flavin_adenine_dinucleotide,FNK
Flavin_adenine_dinucleotide,FSH
Flavin_adenine_dinucleotide,P5F
Flavin_adenine_dinucleotide,RFL
Flavin_adenine_dinucleotide,SFD
Tetrahydrofolic_acid,1YJ
Tetrahydrofolic_acid,C2F
Tetrahydrofolic_acid,DHF
Tetrahydrofolic_acid,FFO
Tetrahydrofolic_acid,FOL
Tetrahydrofolic_acid,FON
Tetrahydrofolic_acid,FOZ
Tetrahydrofolic_acid,THF
Tetrahydrofolic_acid,THG
Tetrahydrofolic_acid,THH
Coenzyme_A,01A
Coenzyme_A,01K
Coenzyme_A,0ET
Coenzyme_A,1C4
Coenzyme_A,1CV
Coenzyme_A,1CZ
Coenzyme_A,1HA
Coenzyme_A,1VU
Coenzyme_A,1XE
Coenzyme_A,2CP
Coenzyme_A,2NE
Coenzyme_A,3CP
Coenzyme_A,3H9
Coenzyme_A,3HC
Coenzyme_A,3VV
Coenzyme_A,4CA
Coenzyme_A,4CO
Coenzyme_A,52O
Coenzyme_A,7L1
Coenzyme_A,8JD
Coenzyme_A,8Z2
Coenzyme_A,94Q
Coenzyme_A,ACO
Coenzyme_A,AMX
Coenzyme_A,BCA
Coenzyme_A,BCO
Coenzyme_A,BSJ
Coenzyme_A,BYC
Coenzyme_A,CA3
Coenzyme_A,CA5
Coenzyme_A,CA6
Coenzyme_A,CA8
Coenzyme_A,CAA
Coenzyme_A,CAJ
Coenzyme_A,CAO
Coenzyme_A,CIC
Coenzyme_A,CMC
Coenzyme_A,CMX
Coenzyme_A,CO6
Coenzyme_A,CO7
Coenzyme_A,CO8
Coenzyme_A,COA
Coenzyme_A,COD
Coenzyme_A,COF
Coenzyme_A,COO
Coenzyme_A,COT
Coenzyme_A,COW
Coenzyme_A,COZ
Coenzyme_A,DCA
Coenzyme_A,DCC
Coenzyme_A,FAM
Coenzyme_A,FCX
Coenzyme_A,FRE
Coenzyme_A,FYN
Coenzyme_A,GRA
Coenzyme_A,HAX
Coenzyme_A,HMG
Coenzyme_A,HSC
Coenzyme_A,HXC
Coenzyme_A,IVC
Coenzyme_A,MCA
Coenzyme_A,MCD
Coenzyme_A,MDE
Coenzyme_A,MLC
Coenzyme_A,MYA
Coenzyme_A,NHM
Coenzyme_A,NHQ
Coenzyme_A,NHW
Coenzyme_A,NMX
Coenzyme_A,OXK
Coenzyme_A,Q5B
Coenzyme_A,QHD
Coenzyme_A,RMW
Coenzyme_A,S0N
Coenzyme_A,SCA
Coenzyme_A,SCD
Coenzyme_A,SCO
Coenzyme_A,SDX
Coenzyme_A,SOP
Coenzyme_A,T1G
Coenzyme_A,TC6
Coenzyme_A,TUY
Coenzyme_A,UT7
Coenzyme_A,UTA
Coenzyme_A,WCA
Coenzyme_A,YNC
Coenzyme_A,ZOZ
Coenzyme_B,SHT
Coenzyme_B,TP7
Coenzyme_B,TPZ
Coenzyme_B,TXZ
Coenzyme_B,XP8
Coenzyme_B,XP9
Flavin_Mononucleotide,4LS
Flavin_Mononucleotide,4LU
Flavin_Mononucleotide,9O9
Flavin_Mononucleotide,9P3
Flavin_Mononucleotide,9PF
Flavin_Mononucleotide,9Q6
Flavin_Mononucleotide,9QF
Flavin_Mononucleotide,F7F
Flavin_Mononucleotide,FMN
Flavin_Mononucleotide,FNR
Flavin_Mononucleotide,FNS
Flavin_Mononucleotide,IRF
Flavin_Mononucleotide,RBF
Menaquinone,MQ7
Coenzyme_M,COM
Heme,1FH
Heme,2FH
Heme,522
Heme,6HE
Heme,76R
Heme,7HE
Heme,BW9
Heme,CCH
Heme,COH
Heme,CV0
Heme,DDH
Heme,DHE
Heme,F0L
Heme,F0X
Heme,FDD
Heme,FDE
Heme,FEC
Heme,FMI
Heme,H02
Heme,HAS
Heme,HDD
Heme,HDE
Heme,HEA
Heme,HEB
Heme,HEC
Heme,HEM
Heme,HEO
Heme,HEV
Heme,HIF
Heme,HP5
Heme,ISW
Heme,MH0
Heme,MI9
Heme,MNH
Heme,MNR
Heme,MP1
Heme,N7H
Heme,OBV
Heme,PP9
Heme,SH0
Heme,SIR
Heme,SRM
Heme,UFE
Heme,VEA
Heme,VER
Heme,VOV
Heme,ZEM
Heme,ZNH
Biopterin,4AB
Biopterin,7AP
Biopterin,BHS
Biopterin,BIO
Biopterin,H2B
Biopterin,H4B
Biopterin,HBI
Biopterin,WSD
Pyrroloquinoline_Quinone,PQQ
Biotin,BC4
Biotin,BTI
Biotin,BTN
Biotin,BYT
Biotin,DTB
Biotin,Y7Y
Lipoic_acid,LPA
Lipoic_acid,LPB
Ubiquinone,4YP
Ubiquinone,9BL
Ubiquinone,AT5
Ubiquinone,DBT
Ubiquinone,RQX
Ubiquinone,UHD
Ubiquinone,UQ1
Ubiquinone,UQ2
Ubiquinone,UQ5
Ubiquinone,UQ6
Glutathione,0HG
Glutathione,0HH
Glutathione,1JO
Glutathione,1JP
Glutathione,1R4
Glutathione,3GC
Glutathione,48T
Glutathione,5AU
Glutathione,6SG
Glutathione,ABY
Glutathione,AHE
Glutathione,ATA
Glutathione,BOB
Glutathione,BWS
Glutathione,BYG
Glutathione,EPY
Glutathione,ESG
Glutathione,GBI
Glutathione,GBP
Glutathione,GBX
Glutathione,GDN
Glutathione,GDS
Glutathione,GF5
Glutathione,GGC
Glutathione,GIP
Glutathione,GNB
Glutathione,GPR
Glutathione,GPS
Glutathione,GS8
Glutathione,GSB
Glutathione,GSF
Glutathione,GSH
Glutathione,GSM
Glutathione,GSN
Glutathione,GSO
Glutathione,GTB
Glutathione,GTD
Glutathione,GTS
Glutathione,GTX
Glutathione,GTY
Glutathione,GVX
Glutathione,HAG
Glutathione,HGS
Glutathione,IBG
Glutathione,ICY
Glutathione,JM2
Glutathione,JM5
Glutathione,JM7
Glutathione,L9X
Glutathione,LEE
Glutathione,LZ6
Glutathione,P9H
Glutathione,RGE
Glutathione,TGG
Glutathione,TS5
Glutathione,VDW
Glutathione,VWW
Glutathione,ZBF
"Orthoquinone_residues_(LTQ,_TTQ,_CTQ)",0AF
"Orthoquinone_residues_(LTQ,_TTQ,_CTQ)",TOQ
"Orthoquinone_residues_(LTQ,_TTQ,_CTQ)",TQQ
"Orthoquinone_residues_(LTQ,_TTQ,_CTQ)",TRQ
S-adenosylmethionine,0UM
S-adenosylmethionine,0XU
S-adenosylmethionine,0Y0
S-adenosylmethionine,0Y1
S-adenosylmethionine,0Y2
S-adenosylmethionine,36A
S-adenosylmethionine,37H
S-adenosylmethionine,4IK
S-adenosylmethionine,62X
S-adenosylmethionine,6D6
S-adenosylmethionine,6NR
S-adenosylmethionine,76H
S-adenosylmethionine,76J
S-adenosylmethionine,76K
S-adenosylmethionine,76L
S-adenosylmethionine,76M
S-adenosylmethionine,AN6
S-adenosylmethionine,EEM
S-adenosylmethionine,K15
S-adenosylmethionine,P2J
S-adenosylmethionine,SA8
S-adenosylmethionine,SAH
S-adenosylmethionine,SAM
S-adenosylmethionine,SFG
S-adenosylmethionine,SMM
S-adenosylmethionine,SX0
S-adenosylmethionine,TT8
Thiamine_diphosphate,1TP
Thiamine_diphosphate,1U0
Thiamine_diphosphate,2TP
Thiamine_diphosphate,5GY
Thiamine_diphosphate,5SR
Thiamine_diphosphate,8EF
Thiamine_diphosphate,8EL
Thiamine_diphosphate,8EO
Thiamine_diphosphate,8FL
Thiamine_diphosphate,8ML
Thiamine_diphosphate,8N9
Thiamine_diphosphate,8PA
Thiamine_diphosphate,A5X
Thiamine_diphosphate,D7K
Thiamine_diphosphate,EN0
Thiamine_diphosphate,HTL
Thiamine_diphosphate,M6T
Thiamine_diphosphate,N1T
Thiamine_diphosphate,N3T
Thiamine_diphosphate,NDQ
Thiamine_diphosphate,O2T
Thiamine_diphosphate,QSP
Thiamine_diphosphate,R1T
Thiamine_diphosphate,S1T
Thiamine_diphosphate,T5X
Thiamine_diphosphate,T6F
Thiamine_diphosphate,TD5
Thiamine_diphosphate,TD6
Thiamine_diphosphate,TD7
Thiamine_diphosphate,TD8
Thiamine_diphosphate,TD9
Thiamine_diphosphate,TDK
Thiamine_diphosphate,TDL
Thiamine_diphosphate,TDM
Thiamine_diphosphate,TDN
Thiamine_diphosphate,TDP
Thiamine_diphosphate,TDW
Thiamine_diphosphate,THD
Thiamine_diphosphate,THV
Thiamine_diphosphate,THW
Thiamine_diphosphate,THY
Thiamine_diphosphate,TOG
Thiamine_diphosphate,TOI
Thiamine_diphosphate,TP8
Thiamine_diphosphate,TPP
Thiamine_diphosphate,TPU
Thiamine_diphosphate,TPW
Thiamine_diphosphate,TZD
Thiamine_diphosphate,WWF
Thiamine_diphosphate,ZP1
Pyridoxal_5'-phosphate,EM2
Pyridoxal_5'-phosphate,MPL
Pyridoxal_5'-phosphate,NOP
Pyridoxal_5'-phosphate,NPL
Pyridoxal_5'-phosphate,PDP
Pyridoxal_5'-phosphate,PLP
Pyridoxal_5'-phosphate,PLR
Pyridoxal_5'-phosphate,PMP
Pyridoxal_5'-phosphate,PXP
Pyridoxal_5'-phosphate,PZP
Pyridoxal_5'-phosphate,UAH
Pyridoxal_5'-phosphate,X04
Topaquinone,1TY
Topaquinone,2TY
Topaquinone,3TY
Topaquinone,4HL
Topaquinone,AGQ
Topaquinone,ESB
Topaquinone,G27
Topaquinone,HCC
Topaquinone,P2Q
Topaquinone,P3Q
Topaquinone,PAQ
Topaquinone,T0I
Topaquinone,TPQ
Topaquinone,TTS
Topaquinone,TYQ
Topaquinone,TYY
Topaquinone,YPZ
ATP_ligand,ATP
ATP_ligand,ADP
ATP_ligand,AMP
ATP_ligand,ANP
ATP_ligand,ACP
ATP_ligand,DTP
ATP_ligand,AGS
ATP_ligand,DAT
ATP_ligand,APC
ATP_ligand,A12
ATP_ligand,AN2
ATP_ligand,ADX
ATP_ligand,M33
Nicotinamide-adenine_dinucleotide,8NA
Flavin_adenine_dinucleotide,5X8